"apopNeutrophils","neutrophils","totalNeutrophils","m1 macs","m2 macs ","resMacs","m1ae","m1de","resMacs ODE","tick","random_seed"
NaN,NaN,NaN,0.0,26.26666666666667,1.8666666666666665,1.0,0.0,2.0,238.0,1831506905
NaN,NaN,NaN,0.0,28.1,1.9333333333333331,1.0,0.0,2.0,239.0,1831506905
NaN,NaN,NaN,0.0,28.1,1.9333333333333331,1.0,0.0,2.0,240.0,1831506905
NaN,NaN,NaN,0.0,26.58620689655173,1.862068965517241,1.0,0.0,2.0,241.0,1831506905
NaN,NaN,NaN,0.0,26.266666666666666,1.8666666666666665,1.0,0.0,2.0,242.0,1831506905
NaN,NaN,NaN,0.0,26.607142857142858,1.9285714285714284,1.0,0.0,2.0,243.0,1831506905
NaN,NaN,NaN,0.0,25.206896551724135,1.862068965517241,1.0,0.0,2.0,244.0,1831506905
NaN,NaN,NaN,0.0,27.035714285714285,1.9285714285714284,1.0,0.0,2.0,245.0,1831506905
NaN,NaN,NaN,0.0,26.107142857142858,1.9285714285714284,1.0,0.0,2.0,246.0,1831506905
NaN,NaN,NaN,0.0,27.03448275862069,1.9310344827586206,1.0,0.0,2.0,247.0,1831506905
NaN,NaN,NaN,0.0,26.066666666666666,1.8666666666666665,1.0,0.0,2.0,248.0,1831506905
NaN,NaN,NaN,0.0,26.75,1.9285714285714284,1.0,0.0,2.0,249.0,1831506905
NaN,NaN,NaN,0.0,26.035714285714285,1.9285714285714284,1.0,0.0,2.0,250.0,1831506905
