"total size","ECM","fibers","necrosis","tick"
13138.0,3952.0,9186.0,0.0,570.0
13139.0,3952.0,9187.0,0.0,571.0
13142.0,3952.0,9190.0,0.0,572.0
13143.0,3957.0,9186.0,0.0,573.0
13147.0,3957.0,9190.0,0.0,574.0
13150.0,3966.0,9184.0,0.0,575.0
13151.0,3965.0,9186.0,0.0,576.0
13151.0,3967.0,9184.0,0.0,577.0
13165.0,3980.0,9185.0,0.0,578.0
13166.0,3980.0,9186.0,0.0,579.0
13167.0,3985.0,9182.0,0.0,580.0
13167.0,3984.0,9183.0,0.0,581.0
13167.0,3983.0,9184.0,0.0,582.0
13169.0,3983.0,9186.0,0.0,583.0
13167.0,3982.0,9185.0,0.0,584.0
13167.0,3981.0,9186.0,0.0,585.0
13168.0,3980.0,9188.0,0.0,586.0
13169.0,3976.0,9193.0,0.0,587.0
13169.0,3974.0,9195.0,0.0,588.0
13170.0,3968.0,9202.0,0.0,589.0
13172.0,3964.0,9208.0,0.0,590.0
13175.0,3974.0,9201.0,0.0,591.0
13178.0,3973.0,9205.0,0.0,592.0
13178.0,3968.0,9210.0,0.0,593.0
13179.0,3968.0,9211.0,0.0,594.0
13181.0,3964.0,9217.0,0.0,595.0
13182.0,3969.0,9213.0,0.0,596.0
13185.0,3966.0,9219.0,0.0,597.0
13190.0,3965.0,9225.0,0.0,598.0
13189.0,3973.0,9216.0,0.0,599.0
13188.0,3971.0,9217.0,0.0,600.0
13188.0,3964.0,9224.0,0.0,601.0
